0.502952	0.504154
0.457417	0.425436
0.548733	0.425268
0.45387	0.582601
0.545856	0.583286
0.410515	0.503419
0.595664	0.504075
0.505868	0.344739
0.500172	0.660298
0.365511	0.424662
0.641448	0.426069
0.361004	0.582173
0.638156	0.584805
0.414495	0.344206
0.407618	0.660206
0.598298	0.346232
0.592546	0.660972
0.688169	0.505045
0.317956	0.502671
0.460718	0.267296
0.449587	0.742173
0.553274	0.268449
0.542341	0.74267
0.690824	0.345838
0.685521	0.663574
0.319741	0.34403
0.313048	0.660274
0.270603	0.424178
0.267255	0.582276
0.735008	0.427813
0.731558	0.585356
0.368696	0.265193
0.35609	0.741715
0.647157	0.266629
0.635658	0.744311
0.22233	0.502491
0.781213	0.504836
